NU_SEQUENCIAL;SG_UF_PROVA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO
1339698;GO;;;1;1;1;1;443.2;522.1;540.1;392.2;1;800
3705804;SC;2;1;1;1;1;1;398.8;458.5;425.5;443;1;440
1856708;MT;4;1;1;1;1;1;602.7;629.8;566.3;661.5;1;800
1200190;GO;2;1;1;1;1;1;446.2;442.8;524.4;602.5;1;640
3864638;PA;;;1;1;1;1;467.4;393.1;350.9;487;1;500
503854;RJ;1;1;1;1;1;1;405.8;467.7;469;598.8;1;800
697902;RS;2;1;1;1;1;1;529.3;526.9;534.2;391.4;1;640
2127711;PE;;;1;1;1;1;574.1;519.9;534.5;627.9;1;720
4012414;PE;;;1;1;1;1;438.6;482.5;549.3;461;1;720
693085;PE;;;1;1;1;1;417.5;383.1;448.3;418.4;1;560
3977188;MG;;;0;0;0;0;;;;;;
2292151;PE;2;1;1;1;1;1;499.5;491.8;472.9;488.3;4;0
3653208;PA;;;0;0;0;0;;;;;;
509241;PR;;;0;0;0;0;;;;;;
2271134;SP;;;1;1;1;1;459.2;574.5;563.1;655.7;1;580
227826;CE;2;1;1;1;1;1;377.8;402.3;420.3;481.1;1;280
280016;PI;;;1;1;1;1;461.6;402.4;389.3;481.3;1;160
2436482;GO;;;0;0;0;0;;;;;;
3150456;BA;;;0;0;0;0;;;;;;
4072911;RN;2;2;1;1;1;1;485.5;424.9;486.2;582.3;1;680
1295014;RS;;;0;0;0;0;;;;;;
3392943;RS;;;0;0;0;0;;;;;;
822627;RJ;;;1;1;1;1;476.8;612.9;600.6;641.7;1;920
3257094;MA;;;1;1;1;1;416.5;565.4;551.6;562.4;1;580
3003321;PA;;;0;0;0;0;;;;;;
3592543;MG;2;1;1;1;1;1;585;600.4;595;571;1;740
1757659;PA;;;1;1;1;1;479.6;403.6;370.6;418.2;1;520
3454391;PR;;;0;1;1;0;;346.4;406;;1;480
4009614;CE;;;0;0;0;0;;;;;;
3069857;PB;;;1;1;1;1;479.6;485.5;480.9;475.5;1;640
2686552;DF;2;1;1;1;1;1;457.4;437.3;456.4;381.8;1;520
1059862;MT;2;1;1;1;1;1;522.9;463.8;536.3;544.1;1;860
2763477;TO;;;0;0;0;0;;;;;;
873907;PB;2;1;1;1;1;1;395.3;487.5;529.7;403.8;1;600
3128018;PB;2;1;1;1;1;1;438.3;427.9;497.1;619.9;1;600
61919;MG;;;1;1;1;1;454.1;439.6;435.1;470.3;6;0
1609669;RJ;;;1;1;1;1;572.5;543.2;546.8;461.9;1;640
2114688;AL;;;1;1;1;1;501.5;470.7;548.1;600.2;1;520
3409383;BA;2;1;1;1;1;1;451.1;484.5;412.9;533.8;1;380
1621524;MA;2;1;1;1;1;1;393.3;404.9;436.5;373;1;400
3844428;RJ;;;0;0;0;0;;;;;;
1399458;CE;;;1;1;1;1;489.3;536.2;561.2;473.4;1;680
2529735;RJ;;;1;1;1;1;640.5;654.8;602.6;786.4;1;780
984842;BA;2;1;1;1;1;1;474.6;471.8;524.9;426.1;1;780
580855;CE;2;1;1;1;1;1;443.4;534.8;547.1;562.3;1;720
3811127;SP;;;0;0;0;0;;;;;;
2897945;SP;;;0;1;1;0;;613.5;579.9;;1;740
1326705;PI;2;1;1;1;1;1;464.7;507.9;472;441.8;1;840
3240419;DF;2;1;1;1;1;1;368.3;415.2;446.9;393.6;1;300
2041374;BA;2;1;1;1;1;1;397.7;535.8;526.5;423.3;1;680
252300;PB;;;0;0;0;0;;;;;;
1739621;RJ;;;1;1;1;1;429.2;539.8;573.6;547.5;1;920
1955296;CE;;;1;1;1;1;527.9;544.5;566.6;557.6;1;740
3174095;MA;;;1;1;1;1;549.7;656.7;622.1;647.2;1;640
3393700;MG;;;0;0;0;0;;;;;;
2698953;SP;2;1;0;0;0;0;;;;;;
1252114;MG;2;1;1;1;1;1;506.9;508.6;543.7;657.1;1;620
2723069;MT;2;1;1;1;1;1;427;406.1;477.2;471.5;1;600
2150202;SP;;;1;1;1;1;582.9;625.7;602.4;622.9;1;740
2176383;GO;;;1;1;1;1;714.9;647.7;654.6;784.6;1;880
4174214;PI;;;1;1;1;1;462.5;570.2;557.6;610.6;1;700
3313533;BA;2;1;1;1;1;1;425.3;454.6;488.7;490.5;4;0
3892961;SE;;;1;1;1;1;415.9;572.5;498.1;565.8;1;700
3696040;PE;2;1;0;0;0;0;;;;;;
3460480;MG;;;1;1;1;1;403.6;552.3;564.9;530.4;1;860
3153614;DF;1;1;1;1;1;1;592.6;579.7;618.7;611.5;1;720
1351729;PA;;;1;1;1;1;366.7;461.8;473.6;390.1;1;720
3413803;BA;;;0;0;0;0;;;;;;
319;CE;2;1;1;1;1;1;513.9;459.5;486.8;441.8;1;520
1152097;MG;;;1;1;1;1;425.4;478.6;522.7;561.9;1;380
1793199;RJ;;;0;0;0;0;;;;;;
2478499;SP;;;0;0;0;0;;;;;;
3052372;PR;;;1;1;1;1;660.1;657.5;588.1;687.3;1;780
1604575;ES;;;1;1;1;1;580.2;551.8;512.1;650.2;1;940
1687608;SE;;;0;0;0;0;;;;;;
2972389;SP;;;1;1;1;1;674.4;725.3;679.3;673.7;1;820
4026800;BA;;;1;1;1;1;569.3;626.4;500.4;619.7;1;720
517785;PE;2;1;1;1;1;1;410;439.2;503.1;441.1;1;480
396848;BA;;;0;0;0;0;;;;;;
2972830;SC;2;1;1;1;1;1;567.1;579.3;560.2;480.6;1;620
1582808;AL;;;1;1;1;1;650.9;597.3;596.4;724.9;1;920
2546000;RS;4;1;0;1;1;0;;438.1;453.9;;1;240
110450;BA;2;1;1;1;1;1;445.2;485.9;434.5;396.7;1;500
3657909;SP;;;1;1;1;1;532.3;573.4;597.9;642.8;1;560
